Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
1,69,LGT CAPITAL PARTNERS (IRELAND) LIMITED,HTTPS://WWW.LGTCP.COM,30889.5,"Hedge(2), PE(42), Other(3), Sec(1)",48,DUBLIN,,Ireland,162361,802-75610,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_5b+; name_strategy:capital partners
2,68,JNE PARTNERS LLP,https://www.jnepartners.com,1481.4,"Hedge(1), PE(1)",2,LONDON,,United Kingdom,300860,802-114905,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; concentrated_few_funds; name_strategy:partners
3,64,"OPEN FOREST ASSET MANAGEMENT, LLC",https://www.linkedin.com/company/open-forest-asset-management/about/,759.1,"Hedge(2), PE(1), Other(2)",5,,,,299748,802-114557,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_500m+; moderate_fund_count
4,64,SPARTA CAPITAL MANAGEMENT LTD,https://www.linkedin.com/company/sparta-capital-management-ltd/about/,516.6,"Hedge(1), PE(1)",2,LONDON,,United Kingdom,315703,802-122576,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; concentrated_few_funds; name_strategy:capital management
5,64,ILEX CAPITAL PARTNERS (UK) LLP,http://www.ilexcapital.com/,7049.0,Hedge(1),1,LONDON,,United Kingdom,326508,802-128546,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
6,63,ORCHARD GLOBAL ASSET MANAGEMENT (S) PTE LTD,HTTPS://WWW.LINKEDIN.COM/COMPANY/ORCHARD-GLOBAL-ASSET-MANAGEMENT/ABOUT/,1488.4,"Hedge(3), PE(1)",4,SINGAPORE,,Singapore,163988,802-76672,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; name_strategy:asset management
7,63,JANCHOR PARTNERS,https://janchorpartners.com/,4945.2,"Hedge(5), PE(1)",6,CENTRAL,,Hong Kong,160420,802-75222,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; name_strategy:partners
8,63,ARKKAN CAPITAL MANAGEMENT LIMITED,HTTP://WWW.ARKKANCAPITAL.COM/,1087.0,"Hedge(1), Other(1)",2,CENTRAL,,Hong Kong,170968,802-79493,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; concentrated_few_funds; name_strategy:capital management
9,63,ACTIVE OWNERSHIP CORPORATION S.À R.L.,http://activeownership.lu,1426.8,Hedge(2),2,GREVENMACHER,,Luxembourg,310391,802-119520,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_positive:owner; clean_regulatory
10,62,BLOOMBERGSEN INVESTMENT PARTNERS,HTTP://WWW.BLOOMBERGSEN.COM,705.9,"Hedge(4), PE(2)",6,TORONTO,,Canada,281189,802-110556,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; moderate_fund_count; name_strategy:investment partners
11,61,CRAKE ASSET MANAGEMENT,HTTP://CRAKEAM.COM/,6033.3,Hedge(1),1,LONDON,,United Kingdom,304493,802-117150,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
12,61,3D INVESTMENT PARTNERS PTE. LTD.,HTTP://WWW.3DIPARTNERS.COM,4614.6,Hedge(2),2,SINGAPORE,,Singapore,282411,802-107363,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
13,61,"MELODY CAPITAL PARTNERS, LP",HTTP://WWW.MELODY.COM,145.1,"Hedge(3), PE(1)",4,NEW YORK,NY,United States,295190,802-132337,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:capital partners
14,61,ARROWPOINT INVESTMENT PARTNERS (SINGAPORE) PTE. LTD.,HTTPS://WWW.LINKEDIN.COM/COMPANY/ARROWPOINTFUND/,3565.5,Hedge(1),1,SINGAPORE,,Singapore,331921,802-131094,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
15,61,ELAN CAPITAL MANAGEMENT (LONDON) LTD,HTTP://WWW.ELAN-CAP.COM,61670.6,Hedge(1),1,"LONDON, GREATER LONDON",,United Kingdom,291714,802-112295,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
16,61,THE RUSHMERE PARTNERSHIP,https://rushmerepartners.com,120.4,Hedge(1),1,NASHVILLE,TN,United States,336382,802-135463,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_positive:partnership; name_strategy:partners
